index,January,April,July,October
1,0.7540306428571429,0.7822878571428572,0.57819195,0.6534137142857144
2,0.7831197142857143,0.7917922142857143,0.6151395571428572,0.7813590714285714
3,0.748825142857143,0.7884204285714286,0.5764873285714286,0.8052895
4,0.7262447857142857,0.7876065000000001,0.5678767328571429,0.7935695
5,0.6961890071428573,0.7899882857142856,0.5652586150000001,0.7735626428571428
6,0.6531865357142858,0.81279005,0.49513621428571436,0.7633748714285714
7,0.6345166642857143,0.7827257142857144,0.4681087857142857,0.7576371928571428
8,0.6410523357142859,0.8051449285714287,0.39361216428571427,0.7744334357142858
9,0.6516683142857144,0.6422079285714285,0.12609958571428573,0.7451186928571429
10,0.6247825221428572,0.4033788235714285,0.09100542357142859,0.5246079357142858
11,0.5141238892857143,0.4276784714285714,0.10185747214285715,0.3893629964285715
12,0.4195306192857143,0.4706484,0.08205894571428572,0.43568790857142853
13,0.35832617857142857,0.4714500285714286,0.08330501428571427,0.4937502142857143
14,0.3570840071428571,0.4677486642857143,0.08306054857142856,0.5235607664285714
15,0.38003412857142865,0.4828059459285715,0.10140763285714285,0.5362295264285715
16,0.3995298142857143,0.5325245621428571,0.16620330142857145,0.5178241857142858
17,0.44645697357142866,0.5729908214285714,0.23565351428571432,0.5323977214285714
18,0.5403971457142858,0.6080045285714286,0.21472182285714284,0.4959925857142858
19,0.6393264071428572,0.6180426428571428,0.26715827614285714,0.5250240714285714
20,0.7030433023571429,0.6494705714285715,0.3534241642857143,0.6297111142857142
21,0.7227709600000001,0.7882086428571429,0.5081014785714285,0.6123679999999999
22,0.7389691892857143,0.7397128571428572,0.5367256878571428,0.6964134285714285
23,0.7364095142857143,0.7679012142857145,0.6067364000000001,0.6604319285714286
24,0.7427350714285714,0.8009365,0.5781797857142857,0.6190177142857143
